patcnty1,dsch_yr,race_grp1,Discharges,mdc_desc,gender,age
Alameda,2012,Aisan,27637,"NERVOUS SYSTEM, DISEASES & DISORDERS",Female,61
Alameda,2012,Black,28455,"EYE, DISEASES & DISORDERS",Male,66
Alameda,2012,Hispanic,25162,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Unknown,73
Alameda,2012,American,467,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female,38
Alameda,2012,Other,6796,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male,79
Alameda,2012,Unknown,1467,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Unknown,49
Alameda,2012,White,55463,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Female,17
Alameda,2013,Aisan,26588,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Male,54
Alameda,2013,Black,26578,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Unknown,50
Alameda,2013,Hispanic,24545,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Female,53
Alameda,2013,American,518,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Male,63
Alameda,2013,Other,7413,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Unknown,33
Alameda,2013,Unknown,2043,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Female,11
Alameda,2013,White,52075,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Male,61
Alameda,2014,Aisan,27118,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Unknown,49
Alameda,2014,Black,26590,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",Female,75
Alameda,2014,Hispanic,25441,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Male,48
Alameda,2014,American,357,INFECTIOUS & PARASITIC DISEASES,Unknown,10
Alameda,2014,Other,7973,MENTAL DISEASES & DISORDERS,Female,53
Alameda,2014,Unknown,2034,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Male,10
Alameda,2014,White,48071,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",Unknown,63
Alameda,2015,Aisan,27748,BURNS,Female,33
Alameda,2015,Black,25757,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Male,33
Alameda,2015,Hispanic,24906,MULTIPLE SIGNFICANT TRAUMA,Female,73
Alameda,2015,American,355,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,Male,76
Alameda,2015,Other,8465,UNGROUPABLE,Female,42
Alameda,2015,Unknown,1456,"NERVOUS SYSTEM, DISEASES & DISORDERS",Male,50
Alameda,2015,White,48265,"EYE, DISEASES & DISORDERS",Female,30
Alameda,2016,Aisan,29686,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Male,45
Alameda,2016,Black,25469,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female,69
Alameda,2016,Hispanic,25037,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male,71
Alameda,2016,American,301,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Female,51
Alameda,2016,Other,7420,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Male,70
Alameda,2016,Unknown,1723,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female,56
Alameda,2016,White,47950,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Male,65
Alameda,2017,Aisan,29856,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Female,69
Alameda,2017,Black,24436,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Male,10
Alameda,2017,Hispanic,24594,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Female,23
Alameda,2017,American,359,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Male,56
Alameda,2017,Other,7643,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Female,13
Alameda,2017,Unknown,1751,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Male,66
Alameda,2017,White,46711,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",Female,39
Alameda,2018,Aisan,30408,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Male,10
Alameda,2018,Black,23364,INFECTIOUS & PARASITIC DISEASES,Female,60
Alameda,2018,Hispanic,24425,MENTAL DISEASES & DISORDERS,Male,55
Alameda,2018,American,273,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Female,38
