patcnty1,dsch_yr,race_grp1,Discharges,mdc_desc,gender,age
Alameda,2012,Aisan,0.7464788732394366,"NERVOUS SYSTEM, DISEASES & DISORDERS",Female,61
Alameda,2012,Black,0.8169014084507042,"EYE, DISEASES & DISORDERS",Male,66
Alameda,2012,Hispanic,0.9154929577464789,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Unknown,73
Alameda,2012,American,0.4225352112676056,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female,38
Alameda,2012,Other,1.0,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male,79
Alameda,2012,Unknown,0.5774647887323944,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Unknown,49
Alameda,2012,White,0.1267605633802817,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Female,17
Alameda,2013,Aisan,0.647887323943662,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Male,54
Alameda,2013,Black,0.5915492957746479,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Unknown,50
Alameda,2013,Hispanic,0.6338028169014085,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Female,53
Alameda,2013,American,0.7746478873239436,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Male,63
Alameda,2013,Other,0.352112676056338,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Unknown,33
Alameda,2013,Unknown,0.04225352112676056,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Female,11
Alameda,2013,White,0.7464788732394366,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Male,61
Alameda,2014,Aisan,0.5774647887323944,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Unknown,49
Alameda,2014,Black,0.9436619718309859,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",Female,75
Alameda,2014,Hispanic,0.5633802816901409,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Male,48
Alameda,2014,American,0.028169014084507043,INFECTIOUS & PARASITIC DISEASES,Unknown,10
Alameda,2014,Other,0.6338028169014085,MENTAL DISEASES & DISORDERS,Female,53
Alameda,2014,Unknown,0.028169014084507043,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Male,10
