patcnty1,dsch_yr,race_grp1,Discharges,mdc_desc,gender
Alameda,2012,Aisan,27637,"NERVOUS SYSTEM, DISEASES & DISORDERS",Female
Alameda,2012,Black,28455,"EYE, DISEASES & DISORDERS",Male
Alameda,2012,Hispanic,25162,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Unknown
Alameda,2012,American,467,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female
Alameda,2012,Other,6796,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male
Alameda,2012,Unknown,1467,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Unknown
Alameda,2012,White,55463,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Female
Alameda,2013,Aisan,26588,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Male
Alameda,2013,Black,26578,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Unknown
Alameda,2013,Hispanic,24545,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Female
Alameda,2013,American,518,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Male
Alameda,2013,Other,7413,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Unknown
Alameda,2013,Unknown,2043,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Female
Alameda,2013,White,52075,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Male
Alameda,2014,Aisan,27118,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Unknown
Alameda,2014,Black,26590,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",Female
Alameda,2014,Hispanic,25441,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Male
Alameda,2014,American,357,INFECTIOUS & PARASITIC DISEASES,Unknown
Alameda,2014,Other,7973,MENTAL DISEASES & DISORDERS,Female
Alameda,2014,Unknown,2034,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Male
Alameda,2014,White,48071,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",Unknown
Alameda,2015,Aisan,27748,BURNS,Female
Alameda,2015,Black,25757,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Male
Alameda,2015,Hispanic,24906,MULTIPLE SIGNFICANT TRAUMA,Female
Alameda,2015,American,355,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,Male
Alameda,2015,Other,8465,UNGROUPABLE,Female
Alameda,2015,Unknown,1456,"NERVOUS SYSTEM, DISEASES & DISORDERS",Male
Alameda,2015,White,48265,"EYE, DISEASES & DISORDERS",Female
Alameda,2016,Aisan,29686,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Male
Alameda,2016,Black,25469,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Female
Alameda,2016,Hispanic,25037,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Male
Alameda,2016,American,301,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Female
Alameda,2016,Other,7420,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Male
Alameda,2016,Unknown,1723,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female
Alameda,2016,White,47950,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Male
Alameda,2017,Aisan,29856,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Female
Alameda,2017,Black,24436,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Male
Alameda,2017,Hispanic,24594,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Female
Alameda,2017,American,359,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Male
Alameda,2017,Other,7643,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Female
Alameda,2017,Unknown,1751,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Male
Alameda,2017,White,46711,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",Female
Alameda,2018,Aisan,30408,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Male
Alameda,2018,Black,23364,INFECTIOUS & PARASITIC DISEASES,Female
Alameda,2018,Hispanic,24425,MENTAL DISEASES & DISORDERS,Male
Alameda,2018,American,273,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Female
Alameda,2018,Other,7622,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",Male
Alameda,2018,Unknown,1832,BURNS,Female
Alameda,2018,White,44125,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,Male
Alpine,2012,Aisan,818,MULTIPLE SIGNFICANT TRAUMA,Female
Alpine,2012,Hispanic,818,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,Male
Alpine,2012,American,818,UNGROUPABLE,Unknown
Alpine,2012,Other,3,"NERVOUS SYSTEM, DISEASES & DISORDERS",Female
Alpine,2012,White,16,"EYE, DISEASES & DISORDERS",Male
Alpine,2013,Hispanic,818,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",Female
Alpine,2013,American,818,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",Male
Alpine,2013,White,15,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",Female
Alpine,2014,Hispanic,818,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",Male
Alpine,2014,American,818,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",Unknown
Alpine,2014,White,11,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",Female
Alpine,2015,American,818,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",Male
Alpine,2015,Unknown,818,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",Unknown
Alpine,2015,White,19,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",Female
Alpine,2016,Hispanic,818,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Male
Alpine,2016,American,818,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",Female
Alpine,2016,White,22,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",Male
Alpine,2017,Hispanic,818,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,Female
Alpine,2017,American,818,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",Male
Alpine,2017,Other,1,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,Female
Alpine,2017,White,17,INFECTIOUS & PARASITIC DISEASES,Male
Alpine,2018,Hispanic,818,MENTAL DISEASES & DISORDERS,Unknown
Alpine,2018,American,818,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,Female
